code,name,tree
9304,著作权转让合同纠纷,9304-9301-9300-9299-9000-
9305,著作权许可使用合同纠纷,9305-9301-9300-9299-9000-
9306,出版合同纠纷,9306-9301-9300-9299-9000-
9307,表演合同纠纷,9307-9301-9300-9299-9000-
9308,音像制品制作合同纠纷,9308-9301-9300-9299-9000-
9309,广播电视播放合同纠纷,9309-9301-9300-9299-9000-
9310,邻接权转让合同纠纷,9310-9301-9300-9299-9000-
9311,邻接权许可使用合同纠纷,9311-9301-9300-9299-9000-
9312,计算机软件开发合同纠纷,9312-9301-9300-9299-9000-
9313,计算机软件著作权转让合同纠纷,9313-9301-9300-9299-9000-
9314,计算机软件著作权许可使用合同纠纷,9314-9301-9300-9299-9000-
9315,商标合同纠纷,9315-9300-9299-9000-
9316,商标权转让合同纠纷,9316-9315-9300-9299-9000-
9317,商标使用许可合同纠纷,9317-9315-9300-9299-9000-
9318,商标代理合同纠纷,9318-9315-9300-9299-9000-
9319,专利合同纠纷,9319-9300-9299-9000-
9320,专利申请权转让合同纠纷,9320-9319-9300-9299-9000-
9321,专利权转让合同纠纷,9321-9319-9300-9299-9000-
9322,发明专利实施许可合同纠纷,9322-9319-9300-9299-9000-
9323,实用新型专利实施许可合同纠纷,9323-9319-9300-9299-9000-
9324,外观设计专利实施许可合同纠纷,9324-9319-9300-9299-9000-
9325,专利代理合同纠纷,9325-9319-9300-9299-9000-
9326,植物新品种合同纠纷,9326-9300-9299-9000-
9327,植物新品种育种合同纠纷,9327-9326-9300-9299-9000-
9328,植物新品种申请权转让合同纠纷,9328-9326-9300-9299-9000-
9329,植物新品种权转让合同纠纷,9329-9326-9300-9299-9000-
9330,植物新品种实施许可合同纠纷,9330-9326-9300-9299-9000-
9331,集成电路布图设计合同纠纷,9331-9300-9299-9000-
9332,集成电路布图设计创作合同纠纷,9332-9331-9300-9299-9000-
9333,集成电路布图设计专有权转让合同纠纷,9333-9331-9300-9299-9000-
9334,集成电路布图设计许可使用合同纠纷,9334-9331-9300-9299-9000-
9335,商业秘密合同纠纷,9335-9300-9299-9000-
9336,技术秘密让与合同纠纷,9336-9335-9300-9299-9000-
9337,技术秘密许可使用合同纠纷,9337-9335-9300-9299-9000-
9338,经营秘密让与合同纠纷,9338-9335-9300-9299-9000-
9339,经营秘密许可使用合同纠纷,9339-9335-9300-9299-9000-
9340,技术合同纠纷,9340-9300-9299-9000-
9341,技术委托开发合同纠纷,9341-9340-9300-9299-9000-
9342,技术合作开发合同纠纷,9342-9340-9300-9299-9000-
9343,技术转化合同纠纷,9343-9340-9300-9299-9000-
9344,技术转让合同纠纷,9344-9340-9300-9299-9000-
9345,技术咨询合同纠纷,9345-9340-9300-9299-9000-
9346,技术服务合同纠纷,9346-9340-9300-9299-9000-
9347,技术培训合同纠纷,9347-9340-9300-9299-9000-
9348,技术中介合同纠纷,9348-9340-9300-9299-9000-
9349,技术进口合同纠纷,9349-9340-9300-9299-9000-
9350,技术出口合同纠纷,9350-9340-9300-9299-9000-
9351,职务技术成果完成人奖励、报酬纠纷,9351-9340-9300-9299-9000-
9352,技术成果完成人署名权、荣誉权、奖励权纠纷,9352-9340-9300-9299-9000-
9353,特许经营合同纠纷,9353-9300-9299-9000-
9354,企业名称（商号）合同纠纷,9354-9300-9299-9000-
9355,企业名称（商号）转让合同纠纷,9355-9354-9300-9299-9000-
9356,企业名称（商号）使用合同纠纷,9356-9354-9300-9299-9000-
9357,特殊标志合同纠纷,9357-9300-9299-9000-
9358,网络域名合同纠纷,9358-9300-9299-9000-
9359,网络域名注册合同纠纷,9359-9358-9300-9299-9000-
9360,网络域名转让合同纠纷,9360-9358-9300-9299-9000-
9361,网络域名许可使用合同纠纷,9361-9358-9300-9299-9000-
9362,知识产权质押合同纠纷,9362-9300-9299-9000-
9363,知识产权权属、侵权纠纷,9363-9299-9000-
9364,著作权权属、侵权纠纷,9364-9363-9299-9000-
9365,著作权权属纠纷,9365-9364-9363-9299-9000-
9366,侵害作品发表权纠纷,9366-9364-9363-9299-9000-
9367,侵害作品署名权纠纷,9367-9364-9363-9299-9000-
9368,侵害作品修改权纠纷,9368-9364-9363-9299-9000-
9369,侵害保护作品完整权纠纷,9369-9364-9363-9299-9000-
9370,侵害作品复制权纠纷,9370-9364-9363-9299-9000-
9371,侵害作品发行权纠纷,9371-9364-9363-9299-9000-
9372,侵害作品出租权纠纷,9372-9364-9363-9299-9000-
9373,侵害作品展览权纠纷,9373-9364-9363-9299-9000-
9374,侵害作品表演权纠纷,9374-9364-9363-9299-9000-
9375,侵害作品放映权纠纷,9375-9364-9363-9299-9000-
9376,侵害作品广播权纠纷,9376-9364-9363-9299-9000-
9377,侵害作品信息网络传播权纠纷,9377-9364-9363-9299-9000-
9378,侵害作品摄制权纠纷,9378-9364-9363-9299-9000-
9379,侵害作品改编权纠纷,9379-9364-9363-9299-9000-
9380,侵害作品翻译权纠纷,9380-9364-9363-9299-9000-
9381,侵害作品汇编权纠纷,9381-9364-9363-9299-9000-
9382,侵害其他著作财产权纠纷,9382-9364-9363-9299-9000-
9383,出版者权权属纠纷,9383-9364-9363-9299-9000-
9384,表演者权权属纠纷,9384-9364-9363-9299-9000-
9385,录音录像制作者权权属纠纷,9385-9364-9363-9299-9000-
9386,广播组织权权属纠纷,9386-9364-9363-9299-9000-
9387,侵害出版者权纠纷,9387-9364-9363-9299-9000-
9388,侵害表演者权纠纷,9388-9364-9363-9299-9000-
9389,侵害录音录像制作者权纠纷,9389-9364-9363-9299-9000-
9390,侵害广播组织权纠纷,9390-9364-9363-9299-9000-
9391,计算机软件著作权权属纠纷,9391-9364-9363-9299-9000-
9392,侵害计算机软件著作权纠纷,9392-9364-9363-9299-9000-
9393,商标权权属、侵权纠纷,9393-9363-9299-9000-
9394,商标权权属纠纷,9394-9393-9363-9299-9000-
9395,侵害商标权纠纷,9395-9393-9363-9299-9000-
9396,专利权权属、侵权纠纷,9396-9363-9299-9000-
9397,专利申请权权属纠纷,9397-9396-9363-9299-9000-
9398,专利权权属纠纷,9398-9396-9363-9299-9000-
9399,侵害发明专利权纠纷,9399-9396-9363-9299-9000-
9400,侵害实用新型专利权纠纷,9400-9396-9363-9299-9000-
9401,侵害外观设计专利权纠纷,9401-9396-9363-9299-9000-
9402,假冒他人专利纠纷,9402-9396-9363-9299-9000-
9403,发明专利临时保护期使用费纠纷,9403-9396-9363-9299-9000-
9404,职务发明创造发明人、设计人奖励、报酬纠纷,9404-9396-9363-9299-9000-
9405,发明创造发明人、设计人署名权纠纷,9405-9396-9363-9299-9000-
9406,植物新品种权权属、侵权纠纷,9406-9363-9299-9000-
